Afghanistan|53105|2244
Albania|60283|1210
Algeria|100873|2782
Andorra|8308|84
Angola|17756|410
Antigua and Barbuda|160|5
Argentina|1662730|43785
Armenia|160544|2878
Australia|28536|909
Austria|369721|6457
Azerbaijan|221401|2792
Bahamas|7928|175
Bahrain|93995|352
Bangladesh|517920|7670
Barbados|643|7
Belarus|203104|1471
Belgium|652735|19827
Belize|11018|258
Benin|3304|44
Bhutan|734|0
Bolivia|165268|9241
Bosnia and Herzegovina|113392|4211
Botswana|15440|45
Brazil|7810400|197732
Brunei|172|3
Bulgaria|205390|7902
Burkina Faso|7342|86
Burundi|842|2
Cambodia|383|0
Cameroon|26848|448
Canada|623384|16253
Cape Verde|11983|113
Central African Republic|4963|63
Chad|2289|105
Chile|623101|16788
China|96310|4787
Colombia|1702966|44428
Comoros|995|13
Congo|7107|108
Costa Rica|173591|2248
Cote d'Ivoire|22855|138
Croatia|214390|4179
Cuba|12964|147
Cyprus|25208|134
Czechia|759635|12257
Democratic Republic of Congo|18248|599
Denmark|173433|1420
Djibouti|5854|61
Dominica|88|45
Dominican Republic|175849|2419
Ecuador|216083|14103
Egypt|144583|7918
El Salvador|47355|1373
Equatorial Guinea|5279|86
Eritrea|1252|1
Estonia|29950|258
Eswatini|10338|252
Ethiopia|126241|1963
Fiji|53|2
Finland|37218|576
France|2737884|66417
Gabon|9605|66
Gambia|3812|125
Georgia|232079|2646
Germany|1814565|36757
Ghana|55168|335
Greece|141453|5051
Grenada|127|5
Guatemala|139419|4859
Guinea|13845|81
Guinea-Bissau|2455|45
Guyana|6407|166
Haiti|10127|236
Honduras|123822|3186
Hungary|329721|10080
Iceland|5811|29
India|10374932|150114
Indonesia|779548|23109
International|721|15
Iran|1255620|55748
Iraq|599126|12856
Ireland|113322|2282
Israel|456139|3496
Italy|2181619|76329
Jamaica|13246|305
Japan|253571|3548
Jordan|301303|3940
Kazakhstan|205064|2775
Kenya|97127|1690
Kosovo|52333|1355
Kuwait|152027|938
Kyrgyzstan|81512|1360
Laos|41|5
Latvia|43942|722
Lebanon|195759|1529
Lesotho|3206|65
Liberia|1779|83
Libya|102456|1536
Liechtenstein|2246|45
Lithuania|149497|1996
Luxembourg|47149|514
Madagascar|17767|262
Malawi|7110|199
Malaysia|122845|509
Maldives|13930|48
Mali|7349|284
Malta|13388|226
Marshall Islands|4|0
Mauritania|14981|367
Mauritius|531|10
Mexico|1466490|128822
Moldova|146921|3070
Monaco|947|3
Mongolia|1308|1
Montenegro|50054|699
Morocco|445439|7581
Mozambique|19542|171
Myanmar|127584|2766
Namibia|25887|222
Nepal|262784|1893
Netherlands|845822|11922
New Zealand|2186|25
Nicaragua|6097|166
Niger|3500|110
Nigeria|92705|1319
North Macedonia|84709|2559
Norway|52180|452
Oman|129774|1502
Pakistan|492594|10461
Palestine|143169|1505
Panama|259770|4238
Papua New Guinea|799|9
Paraguay|110796|2321
Peru|1019475|37830
Philippines|479693|9321
Poland|1330543|29502
Portugal|436579|7286
Qatar|144852|245
Romania|648288|16178
Russia|3250713|58706
Rwanda|8955|110
Saint Kitts and Nevis|33|0
Saint Lucia|380|5
Saint Vincent and the Grenadines|133|0
Samoa|2|5
San Marino|2549|62
Sao Tome and Principe|1024|17
Saudi Arabia|363259|6265
Senegal|19964|428
Serbia|349238|3405
Seychelles|313|0
Sierra Leone|2724|76
Singapore|58749|29
Slovakia|191088|2603
Slovenia|128370|2868
Solomon Islands|17|5
Somalia|4714|130
South Africa|1127759|30524
South Korea|65818|1027
South Sudan|3589|63
Spain|1982544|51430
Sri Lanka|45726|217
Sudan|23316|1468
Suriname|6586|125
Sweden|469748|8985
Switzerland|465981|8018
Syria|11890|741
Taiwan|817|7
Tajikistan|13305|90
Tanzania|509|21
Thailand|9331|66
Timor|49|0
Togo|3770|69
Trinidad and Tobago|7186|127
Tunisia|147061|4934
Turkey|2270101|21879
Uganda|36407|290
Ukraine|1117256|19929
United Arab Emirates|216699|685
United Kingdom|2782709|76428
United States|21046195|357258
Uruguay|22104|217
Uzbekistan|77295|614
Vanuatu|1|0
Vatican|27|0
Venezuela|114662|1042
Vietnam|1504|35
World|86405927|1868768
Yemen|2101|610
Zambia|22645|412
Zimbabwe|17194|418
